,name,booth,link,note,description
54,Deep Water Games,3512,http://deepwatergaming.com,,
55,Dicebreaker,2547,,,No details provided.
56,Dice Dungeons,3806,https://dicedungeons.com/,,
57,Dice Throne,2923,http://roxley.com,,
58,Dice Tower,4100,https://www.dicetower.com/,,
59,Die Hard Dice,4046,http://www.dieharddice.com/,,
60,Dr. Finn's Games,3507,http://www.doctorfinns.com/,,
61,Drinks with Frenemies,4009,https://drinkswithfrenemies.com/,,
62,DUST USA,2955,http://www.dustusa.com/,,
63,Elderwood Academy,3337,http://elderwoodacademy.com,,
64,Elf Creek Games,3251,http://elfcreekgames.com/,,
65,Elzra,3754,http://www.elzra.com,," Elzra is the publisher of Catacombs™, the award winning line of tabletop games, based in Hamilton, Ontario, Canada.  Visit www.elzra.com or www.catacombs.shop..  Follow us on Twitter (www.twitter.com/elzragames), Facebook (www.fb.com/elzragames), and Instagram (www.instagram.com/elzragames).  "
66,Engames,TT04,,,
67,Everything Epic,3201,http://everythingepic.us,,
68,ExocrateGames,4122,https://www.britishvspirates.com/,,
69,EXOD Studio,3957,,,No details provided.
70,Fantasy Flight Games,2631,https://www.fantasyflightgames.com%0D/,Booth #2631 and RPG Room 120A,
71,Fate of the Norns,3407,http://fateofthenorns.com,,
72,First Fish Games,3601,,," Visiting all the way from Vancouver, Canada, First Fish Games is proud to have our 2nd game Town Builder Coevorden for sale at PAX this year. We will also be demoing our next game Ducks in Tow which is LIVE on Kickstarter right now! Come by and say hi! "
73,Flatout Games,3933,,," Flatout Games is a board game design and publishing collaborative focused on creating innovative game experiences. We love puzzly games with simple rules, high replayability, and great tension and decision-making. Players’ options and decisions should be complex, rules should not be. We love products that have a light footprint and are designed with clarity, simplicity, and elegance at the forefront. Come check out our games Calico and Lands and Creatures! "
74,Floodgate Games,3447,http://floodgategames.com,,
75,Flying Nightbear Games,3606,http://fnbgames.com,,
76,Foam Brain,TT02,https://cardboardclothing.com/,Tabletop Freeplay Retailer,
77,Fog of Love,3623,https://www.fogoflove.com/,,
78,Forbidden Games,2855,https://forbidden.games/,,
79,Formal Ferret,3546,https://www.formalferretgames.com,,
80,Fowers Games,3737,https://www.fowers.games/,,
81,Free League Publishing,3312,,," Free League Publishing is a Swedish publisher dedicated to speculative fiction. We have published a range of award-winning tabletop role-playing games and critically acclaimed art books set in strange and wondrous worlds.  Our game range include the alternate ’80s Tales from the Loop (winner of five ENnie Awards 2017), sandbox retro fantasy Forbidden Lands (winner of four ENnie Awards 2019), postapocalyptic Mutant: Year Zero (Silver ENnie for Best Rules 2015), space opera Coriolis – The Third Horizon (Judge’s Spotlight Award 2017), dark fantasy Symbaroum, and the official ALIEN RPG. "
82,Funko Games,2507,http://forrest-pruzan.com,,
83,Fun to 11,3823,http://funto11.com/,,
84,Gale Force 9,3322,http://www.gf9.com/,,
85,"Game and a Curry, LLC",4130,http://gameandacurry.com/gameandacurry/,,
86,Game Envy Creations,3501,http://gameenvy.net/,,
87,Gamelyn Games,3939,http://gamelyngames.com,,
88,Gamermats,2447,https://gamermats.com/,,
89,Games and Gears,4127,http://www.gamesandgears.co.uk/,,
90,Games Workshop,2401,https://www.games-workshop.com/,,
91,Game Toppers,4013,http://www.gametoppersllc.com/,,
92,Game Trade (Magazine/Media),2501,https://www.gametrademagazine.com/,,
93,GameWick Games,3602,https://www.gamewick.com/,,
94,Gamewright Games,3346,https://gamewright.com/,,
95,Gamingetc.com,3907,,,
96,Gate Keeper Games and Dice,3555,https://www.gatekeepergaming.com/,,
97,Gather Round Games,3403,https://gather-round-games.itch.io/,,
98,Geek Fever Games,3950,http://www.geekfevergames.com/,,
99,Geekon,3600,https://geekon.nyc/,,
100,Gemhammer & Sons Gaming,3746,http://www.gemhammer.com/home/,,
101,Genius Games,2801,https://www.geniusgames.org/,,
102,Golden Bell Studios,4007,https://www.goldenbellstudios.com/,,
103,Goodman Games,3749,http://goodman-games.com/,,
104,GPI (Grand Prix International),3822,https://grandprixintl.com/,,
105,Grand Gamers Guild,3237,,," Grand Gamers Guild is your #GameNightGoTo. Check to booth 3237 to check out Shikoku, Endangered, The Artemis Project, Endeavor: Age of Expansion, and our upcoming title Gorinto! "
106,Gray Matters Games,3926,https://graymattersgames.com/,,
107,Greater Than Games,2513,http://greaterthangames.com,Demo table also available in RPG Library (Room 119A),
108,Green Ronin Publishing,3649,https://greenronin.com/,,
109,Grey Fox Games,2601,https://www.greyfoxgames.com/,,
110,Grimlord Games,3723,https://www.grimlordgames.com/,,
111,HABA,3354,,," HABA is a maker of games and toys for humans of all ages. Best known for our games for little ones, we have games for as young as 2 years old and as old as 99 years. We have the perfect games to help you raise little gamers and the best part is our games aren’t just for kids! Say goodbye to CandyLand – adults and kids can compete and have fun with HABA games. Rhino Hero, Karuba, Animal Upon Animal – we have all our classics and more. Did you bring your littlest future gamer? We have baby toys too! "
112,Haiduc LLC,4037,https://haiduc.itch.io/,,
113,Handelabra Games,2606,http://handelabra.com/,,
114,Hero: Tales of the Tomes,4156,https://www.talesofthetomes.com/,,
115,HUB Games,3813,https://www.wearehubgames.com/,,
116,IDW Games,3306,,," IDW Games is the leading publisher of licensed board games. Our flagship series, the Adventures Universal Game System (AUGS), offers players strategic adventure games filled with fan-favorite characters from brands like Teenage Mutant Ninja Turtles and Batman the Animated Series. Best of all, every AUGS game is compatible with the others. Swing by booth #3306 to demo Batman The Animated Series Adventures (AUGS), Metal Gear Solid The Board Game, and Ghostbuster x MIB Ecto-terrestrial Invasion. "
117,IELLO,2639,,," IELLO is the publisher of award-winning games such as King of Tokyo, Welcome to the Dungeon, Bunny Kingdom, The Big Book of Madness & many others for every age and gaming level. Since 2004, we take pride in bringing people together to enjoy fresh and exciting adventures designed by the most talented artists and creators.   Since 2012, the brand’s American subsidiary is bringing worldwide attention to the distribution of IELLO games, making IELLO a major actor in a growing industry. This success is quickly leading to market penetration in further territories such as Asia and Australia. "
118,Indie Boards and Cards,2555,http://indieboardsandcards.com/home.php,,
119,Indie Game Developer Network,3603,http://www.igdnonline.com/,,
120,Inked Gaming,3832,https://www.inkedgaming.com/,,
121,Inkwell Ideas,3854,,," Creators of the Worldographer RPG map software (create/generate/edit world/kingdom, city/settlement, or dungeon/battlemat maps), Dungeon Geomorph dice and cards, system neutral NPC and Sidequest Decks as well as other 5e RPG card decks for creatures and magic items. "
122,Inside Up Games,3449,https://insideupgames.com/,,
123,Japanime Games,2701,https://japanimegames.com/,,
124,Jason Anarchy Games,3509,,," Games for the hard casual!   Drinking Quest - One part tabletop RPG, one part Drinking Game. The best way to party after Pax!   HECK: A Tiny Card Game - From designer Jason Anarchy and Tiny Snek Comics comes and adorable & tiny card game that features over 100 different snakes and critters!   Newfoundland Jam - A jam making game set in fabled Newfoundland, Canada. But watch out for the JAM BURGLAR, a wily mainlander raccoon who wants to STEAL YOUR JAM!   Le Neckbeard - A cringy 20 minute card game crammed full of awkward social commentary and neckbeard lore.   Complement Jason's biceps at the booth and get a SPECIAL PRIZE!  "
125,Jim Likes Games,3713,http://www.jimlikesgames.com,," Jim Likes Games LLC is your official Pax Unplugged source for Indie Press Revolution and a wealth of other small press and independent tabletop RPGs. You'll find groundbreaking favorites like Dread, Monsterhearts, and Fiasco alongside the latest cutting-edge story games like Dialect: A Game About Language, For the Queen and Good Society, the Jane Austen RPG. You'll also find card-based games, accessories, and dice including FATE die sets. If you're ready to expand your horizons beyond D&D, Jim's Got a Game for That. Twitter: @jimlikesgames. Online: www.jimlikesgames.com. "
126,Keymaster Games,3430,http://keymastergames.com,,
127,Kickstarter,3431,https://www.kickstarter.com/,,
128,Kids Table Board Gaming,3336,,," At PAXU, you can visit two amazing publishers in one location. KTBG and Burnt Island Games are sibling companies with a shared vision of delivering fun and accessible games to the tabletop. This year, we will be showing off our upcoming games Fossilis and In the Hall of the Mountain King, as well as recent hits including Wreck Raiders, Bugs on Rugs, and Endeavor: Age of Sail. We love sharing our passion for gaming with you, so be sure to stop by our booth and see what’s next! "
129,KLASK,3513,https://www.kidstablebg.com/,,
130,Knight Moves Cafe,3531,,," Knight Moves Cafe presents the Indie Game Cafe showcase where you can relax and rejuvenate yourself in the comfort of a unique board game cafe, built inside PAX Unplugged. Check out the up and coming talent in the industry and demo new games and unreleased gems. Support the Indie community and purchase your favorite titles, as well as commemorative pins, mugs, and hoodies! This year we are supporting Philadelphia's newest board game cafe, The Queen and Rook located at 607 S 2nd St. "
131,Knight Realms,4154,https://www.knightrealms.com/,,
132,Kobold Press,4039,https://koboldpress.com/,Demo table also available in RPG Library (Room 119A),
133,KOSMOS,3240,,," KOSMOS games build social skills, stimulate logical and strategic thinking, promote visual-spatial and math skills, cultivate physical coordination and manual dexterity, encourage family time, and inspire fair-mindedness, confidence, and honorable attitudes. German engineered and beautifully made, these games become enduring family favorites and game night classics. For all these reasons, Kosmos games have earned worldwide acclaim. "
134,Lay Waste Games,3313,https://www.laywastegames.com/,,
135,Leder Games,2607,https://ledergames.com/,,
136,Letiman Games,3951,https://www.letimangames.com/,,
137,Level 99 Games,3839,https://www.level99games.com/,,
138,Level Up Dice,2839,https://levelupdice.net/,,
139,Libellud,2423,http://www.libellud.com/?lang=en,,
140,Liveware Lab,RPG03,http://www.livewarelab.com/,Megagames & Escape Rooms,
141,Lone Shark Games,3038,http://lonesharkgames.com/,,
142,LongPack Games,3747,http://www.longpackgames.com/,,
143,Lookout Games,2423,,,
144,Looney Labs,3912,http://www.looneylabs.com,,
145,Lucky Duck Games,3422,https://luckyduckgames.com,,
146,Lukeprojekt Sp. z o.o. Mobygeek,3355,http://themobygeek.com/,,
147,Luma Games,3123,https://lumagames.ca/,,
148,Lynnvander Studios,4051,http://www.lynnvander.com/,,
149,Mage Hand Press,3755,https://store.magehandpress.com/,,
150,Magpie Games,3733,,," Magpie Games is devoted to creating interesting, innovative, boundary-pushing, and high-quality games across a wide variety of genres and styles. The majority of Magpie Games’ projects are tabletop roleplaying games, including titles such as like Masks, Zombie World, Urban Shadows, Bluebeard’s Bride, and the upcoming Root: The Tabletop RPG (September 2020), but Magpie Games has recently expanded to publishing card games with Wizard Kittens (April 2020). "
151,Master Monk,3954,,,
152,Material Components,3927,,," Material Components makes critical tabletop goods for discerning roleplayers. HeroBook is the essential tabletop adventure companion, with a reusable character sheet, 5th edition D&D rules, references, and tools, all in a deluxe, eco-friendly notebook. Our newest product, HeroBook GM, offers tons of in-game and world building resources to help run your game. Visit us to check out both books and snag your free HeroBook buttons! "
153,Mayday Games,2655,http://www.maydaygames.com,,
154,Mercury Games,3937,https://www.mercurygames.com,,
155,Metafactory Games,3931,https://fantasticfactories.com/,,
156,Metallic Dice Games,3055,,," Metallic Dice Games is your source for unique and exclusive dice. Established in 2013, we originally carried metal dice sets and have since expanded our store to include gemstone dice, acrylic dice, resin dice, and a variety of dice trays, cases, and accessories. We love gaming and love having the opportunity to enhance your gaming experience with premium dice and accessories! "
157,Mighty Boards,4033,https://www.mighty-boards.com/,,
158,Mixlore,2423,http://mixlore.com/,,
159,Modiphius,3213,https://www.modiphius.com/,,
160,Monocle Society/Weave,3122,http://www.weave.game/,,
161,Move38,3837,https://www.move38.com/teaser/,,
162,Muster Box,4036,http://www.muster-box.com/,,
163,Mythical Normal,3413,https://robots.management/,,
164,Nauvoo Games,3838,,," Publisher of award-winning strategy and family board games, including Stockpile, CrossTalk, and The Reckoners. "
165,Nightingale Games,4038,https://www.nightingale-games.com/,,
166,Nomnivore Games Inc.,3523,,," At Toronto's Nomnivore Games Inc., we want to break the mould of traditional tabletop gaming. Our indie studio features a team of all-star enthusiasts from a variety of backgrounds, including film, psychotherapy, and statistics—that allows us to approach game design from a fresh perspective. Through our passion, we created EMBERWIND, a new breed of RPG based on the belief that games should adapt to their players and not the other way around. EMBERWIND is built on RISE—our original and modular system—that can be customized to suit the needs of every player, and runs fast, fun, and intense! "
167,Norse Foundry,2907,https://www.norsefoundry.com/,,
168,North Star Games,2913,,," North Star Games the creators of Wits & Wagers, Say Anything, dude, Happy Salmon and the Evolution line of games will be premiering their newest game The Taverns of Tiefenthal by Wolfgang Warsch. This will be joining The Quacks of Quedlinburg and its expansion The Herb Witches. Come by booth 2913 and check them out along with our soon to be released games Oceans and Paint the Roses (coming late 2020). Check out our games in First Looks, too! "
169,North Wind Adventures,3401,,," North Wind Adventures is the publisher of Astonishing Swordsmen & Sorcerers of Hyperborea™, a tabletop role-playing game inspired by the pulp fiction of Robert E. Howard, H.P. Lovecraft, and Clark Ashton Smith, with game mechanics inspired by E. Gary Gygax and Dave Arneson. Created by Jeffrey Talanian (coauthor of Gary Gygax’s Castle Zagyg) and published in 2012, AS&SH™ has been nominated for multiple ENnies awards, including Best Game, Best Production Values, and Product of the Year. "
170,Oakie Doakie Dice,4032,https://oakiedoakiedice.com/en/,,
171,ODAM Publishing,3901,https://www.odampublishing.com/,,
172,"Odd, Odd Oddities",2939,,,No details provided.
173,Oink Games,3537,https://oinkgms.com/en/,,
174,Oni Press,2713,http://onipress.tumblr.com/,,
175,Onyx Path Publishing,3106,http://theonyxpath.com,Demo table also available in RPG Library (Room 119A),
176,Paizo,2646,https://paizo.com/,Booth #2646 and RPG Room 120B,
177,Panda Game Manufacturing,4031,,," Panda Game Manufacturing is a premium game manufacturer responsible for producing thousands of tabletop game titles for clients around the world since 2007. Their team guides clients through the entire process, from design verification and component sampling to mass production and shipping. They lead the industry through innovation in print, wood, plastics, and metal. Panda’s mission is simple: to produce (and play) the best boardgames in the business, manufactured by gamers for gamers. "
178,Pandasaurus Games,3455,https://pandasaurusgames.com/,,
179,Pandemonium Books and Games,3154,http://www.pandemoniumbooks.com/,,
180,Parallel Games,4132,https://www.parallelboardgames.com/,,
181,Pastimes,TT10,http://www.pastimes.net/,Tourney Hall Exhibitor,
182,Pelgrane Press,3707,,," Want to roleplay your favorite HBO series, hunt down and kill Dracula, fight your way through a dungeon, solve fiendish and complex mysteries, or explore contemporary feminist themes? Stop by the Pelgrane Press booth for all this, and much more! Pelgrane Press publishes award-winning tabletop RPGs like the d20 fantasy game 13th Age, the GUMSHOE investigative system-powered Trail of Cthulhu and Night's Black Agents, and character-focused story games like Hillfolk, #Feminism and Seven Wonders. "
183,Perplext,4123,,, Perplext focuses on portable gaming with high value. Their popular Pack O Game series are gum-sized card games with big gameplay. Check out their latest line of ‘Roll & Write’ strategy dice games launching at this year’s PAXU with ‘Roland Wright: The Dice Game’. 
184,Petersen Games,3930,http://petersengames.com/,,
185,Pinnacle Entertainment,RPG01,https://www.peginc.com/,RPG Exhibitor (Room 119A),
186,Plaid Hat Games,2529,https://www.plaidhatgames.com%0D/,,
187,Poccade,3827,https://www.poccade.com/,,
188,Portal Dragon,4131,https://portaldragon.com/,,
189,Project Genius,3936,https://www.projectgeniusinc.com/,,
190,Queen Games,3631,,,
191,Quined Games,3848,http://quined.nl,,
192,Rathskellers,3147,,," “A multi-generational family of Greek furniture craftsmen, dedicated to bringing handcrafted & fully customizable gaming tables to gamers around the globe. All of our gaming tables can transform into dining tables with widthwise hardwood leaves. From our cute coffee table, to our hexagonal model, you will find innovative features to fit your needs. Such as the aluminum railing system, seamless LED lighting, wireless charging, storage spaces, built-in Bluetooth sound system, and much more!” "
193,Rattrap Productions,3946,https://rattrap-productions.com/,,
194,Ravensburger,3236,,," Founded in 1883, Ravensburger is a leading producer of puzzles, award-winning board games, and engaging science, and arts and crafts kits. As a family owned business, Ravensburger has built a reputation as a trusted brand for both parents and children alike. Its products encourage playful development atevery stage and every age. Toys for the head, hand and heart. "
195,Realmsmith,TT09,https://www.realmsmith.tv/,Miniatures Hall Exhibitor,
196,Rebellion,3023,https://rebellion.com/,,
197,Red Djinn,4101,,,No details provided.
198,Red Duke Games,3955,http://www.reddukegames.com/,,
199,Reliquary Game Studios,3851,http://reliquarygamestudios.com/,,
200,Renegade Game Studios,2613,https://www.renegadegamestudios.com/,Demo tables also available in RPG Library (Room 119A),
201,Repos Production,2423,http://rprod.com/,,
202,Resonym,3126,,," Resonym is a woman-owned game publishing group. We are committed to making artistic, engaging, and socially conscious games. We design everything in house and carefully select our art team to make sure you get a unique game experience that feels great during and after play. Our games games resonate. "
203,Restoration Games,2754,http://restorationgames.com/,,
204,Rock Manor Games,3548,http://rockmanorgames.com/,,
205,R&R Games,3812,https://rnrgames.com/,,
206,R. Talsorian Games,2941,https://talsorianstore.com/,,
207,Runaway Parade,3547,https://www.runawayparade.com/,,
208,Sentient Cow Games,4026,http://www.sentientcowgames.com/,,
209,SFR Inc.,4106,https://www.sfr-inc.com/,,
210,SHASN,3307,https://www.kickstarter.com/projects/zainmemon/shasn-the-political-strategy-board-game-break-ks,,
211,Shoot Again Games,3731,https://www.facebook.com/shootagaingames/,,
212,Skybound Games,3301,http://www.skybound.com,,
213,SlugFest Games,3223,,," Our mission at SlugFest Games is to provide good clean fun that is dripping with theme. We strive to make games that are easy to learn and quick to play, with a depth of strategy that is learned through playing. If you love humor paired with solid mechanics, then you’ve come to the right place! Our flagship game is The Red Dragon Inn, a fan-favorite tavern brawler where players compete to be the last adventurer standing! "
214,Smirk & Dagger Games,2812,https://www.smirkanddagger.com/,,
215,Soaring Rhino,3646,,," Brothers Jeff and Craig Van Ness grew up playing a lot of games. To the dismay of older brother Jeff, Craig won them more often than not. From Chess, Dungeons and Dragons, Titan, Stratego, Axis and Allies, Shogun, and Risk, to family game nights including Password and Rebound, gaming was an integral part of life. Craig took all this experience and became a game designer for Hasbro. Jeff became a teacher and used his love of games to create different ways for his students to experience history. After 20+ years in their respective careers the brothers decided it was time to pool their creativity and begin designing and publishing games for others to enjoy. They called their new company Soaring Rhino in honor of their father. Their mission is to provide “Innovative ideas, Thoughtful design, and Engaging games.” "
216,Society for Creative Anachronism,TT01,,Tabletop Freeplay Exhibitor,No details provided.
217,Space Cowboys,2423,https://www.spacecowboys.fr/our-board-games,,
218,Spinmaster,3007,http://www.spinmaster.com,,
219,SRG Universe,3801,http://www.srguniverse.com/about/,,
220,Steve Jackson Games,3247,http://www.sjgames.com/,,
221,Story Machine Games,3706,https://storymachinegames.com/,,
222,Strange Machine Games,4023,http://strangemachinegames.com/,,
223,Stronghold Games,2654,http://strongholdgames.com/,,
224,Studio 2 Publishing,3107,https://studio2publishing.com/,,
225,Studio Woe,3836,http://www.studiowoe.com,,
226,Stylin Online,4147,https://www.stylinonline.com/,,
227,Surfin' Meeple,3137,http://usa.surfinmeeple.com/,,
228,Syrinscape,3503,,," Syrinscape is a revolutionary sound design app that adds immersive, ambient background sound and a movie-like soundtrack to your tabletop RPG gaming. Syrinscape conjures every monster and aural landscape imaginable, from ethereal forests and stony shorelines to dank vermin-filled dungeons and the spooky depths of subterranean caverns. Each Element of the sound design is separately controlled by the app, automatically randomized and positioned. With powerful algorithms to distribute thousands of individual samples randomly, Syrinscape will never repeat itself. "
229,Syther Gaming,4136,,,No details provided.
230,Table Titans,3701,http://pvponline.com/,,
231,Tabletop Co-op,4027,http://tabletopcoop.com/,,
232,Tabletop Tycoon,2901,https://www.tabletoptycoon.com/,,
233,Talon Strikes,3702,http://talonstrikes.com/,,
234,Tectonic Craft Studios,4113,https://tectoniccraftstudios.com/,,
235,TeeTurtle,3922,,, We make a lineup of tabletop and party games that reflect our passion for gaming as a way to build community and create meaningful shared experiences together. Take a look and discover your favorite world among our games. Who knows what card we’ll play next at Unstable Games? Let’s escape together! 
236,Th3rd World Studios,4022,https://www.th3rdworld.com/,,
237,The Broken Token,4137,https://www.thebrokentoken.com/,,
238,The Darker Side,3351,,,No details provided.
239,The Deck of Many,4001,http://thedeckofmany.com,," The Deck of Many is known for their series of 5th edition reference cards. At PAX Unplugged along with their monster and condition decks they will be showcasing their new Animated Spells series, cards that when tilted animate to look like you're casting a spell.   The will also be launching Humblewood, their first campaign setting for 5th edition where you get to play birdfolk and other woodland creatures in a daring adventure to save the wood from a deadly fire.   Website: thedeckofmany.com  Twitter: @thedeckofmany "
240,The Game Crafter,4047,https://www.thegamecrafter.com/,,
241,The Indie Bazaar,3722,http://indiegamebazaar.com/bazaar/,,
242,The Rook & the Raven,3748,https://shop.therookandtheraven.com/,,
243,Thompson Productions LLC,3830,https://www.facebook.com/Thompson-Productions-LLC-477186595081/,,
244,Thunderworks Games,3450,,," We are dedicated to designing and publishing original and innovative games with amazing artwork and high-quality components.   Every customer is important to us. We are 100% committed to customer satisfaction and are devoted to providing superior customer service to every gamer we get the opportunity to share this amazing hobby with.   Roll Player is our flagship product. Our product like also includes the expansions for Roll Player, Monsters & Minions and Fiends & Familiars as well as standalone games in the same world like Lockup: A Roll Player Tale, and Cartographers: A Roll Player Tale.   Other titles in our catalog include Bullfrogs, Blend Off!, and Dual Powers: Revolution 1917.   There are lots of cool projects in the works, so keep an eye out for new things coming from Thunderworks Games! "
245,Tiki Tiki Board Games,4146,https://tikitikigames.com/,,
246,Tinkerturf,TT07,http://tinkerhousegames.com/tinkerturf/,Miniatures Hall Exhibitor,
247,TNT Laser Works,4050,https://www.winningmoves.co.uk/top-trumps,,
248,Top Trumps,3446,https://www.winningmoves.co.uk/top-trumps,,
249,Triquetra Entertainment,RPG02,http://www.triquetraentertainment.com/,RPG Exhibitor (Room 119A),
250,Troll and Toad,4055,,,No details provided.
251,TTCombat,3855,https://ttcombat.com/,,
252,Tuesday Knight Games,3027,http://www.tuesdayknightgames.com,,
253,Twilight Creations,4126,https://www.twilightcreationsinc.com/,,
254,Twogether Studios,3323,http://twogetherstudios.com/,,
255,Ultimate Guard,4030,https://ultimateguard.com/en/printed-sleeves/lands-edition-ii-artwork-sleeves,,
256,UltraPRO,2433,https://www.ultrapro.com/,,
257,US Mahjong League (USPML),3036,http://uspml.com/,,
258,Vallejo,TT08,https://acrylicosvallejo.com/en/,Miniatures Hall Exhibitor,
259,Van Ryder Games,3613,https://www.vanrydergames.com/,,
260,"Volante Design, Inc.",4107,https://www.volantedesign.us/,,
261,Warcradle Studios,3231,,," Visit us Booth 3231 at PAXU to experience the exciting world of the Dystopian Age and more. We will be bringing Wild West Exodus and Dystopian Wars, as well as Fog & Friction, for you to see in action and try out! Alongside a host of Wild West Exodus goodies and a selection of our Warcradle Scenics scenery sets, we'll have all of our latest releases too. Don’t forget, you’ll be able to get your hands on Jadzia Kosciuszko, the 2019 promotional miniature aswell. "
262,Weird Giraffe Games,3947,http://weirdgiraffegames.com,,
263,White Wizard Games,2747,,,
264,Wild East Game Company,3607,http://wildeastgames.com/main.html,,
265,Wild Power Games,3406,https://www.wildpowergames.com/,,
